Player,Season,Position,Team,TotalInjuryCount
Hunter Hillenmeyer,2007,LB,Bears,1
Geoff Hangartner,2007,G,Panthers,1
Grady Jackson,2007,DT,Jaguars,1
Grady Jackson,2007,DT,Seahawks,1
Greg Jennings,2007,WR,Packers,1
Hamza Abdullah,2007,S,Broncos,1
Hanik Milligan,2007,S,Rams,1
Hines Ward,2007,WR,Jaguars,1
Willie Reid,2007,WR,Jaguars,1
Player,Season,Position,Team,TotalInjuryCount
Laveranues Coles,2008,WR,Jets,7
Tommie Harris,2008,DT,Bears,7
Tim Jennings,2008,CB,Colts,7
Brian Westbrook,2008,RB,Eagles,7
Shawn Andrews,2008,G,Eagles,7
Koren Robinson,2008,WR,Seahawks,6
Kyle Vanden Bosch,2008,DE,Titans,6
Derrick Mason,2008,WR,Ravens,6
Matt Hasselbeck,2008,QB,Seahawks,6
Ricky Brown,2008,LB,Raiders,6
Marvel Smith,2008,T,Steelers,6
Robert Mathis,2008,DE,Colts,6
David Harris,2008,LB,Jets,6
Samari Rolle,2008,CB,Ravens,6
Sam Baker,2008,T,Falcons,6
Jared Gaither,2008,T,Ravens,6
Jerricho Cotchery,2008,WR,Jets,6
Chinedum Ndukwe,2008,S,Bengals,6
Carson Palmer,2008,QB,Bengals,6
Brian Dawkins,2008,S,Eagles,6
Todd Weiner,2008,T,Falcons,6
Dwight Freeney,2008,DE,Colts,6
Bob Sanders,2008,CB,Colts,6
Grady Jackson,2008,DT,Falcons,6
Gary Brackett,2008,LB,Colts,6
Pete Kendall,2008,G,Redskins,5
Antoine Bethea,2008,CB,Colts,5
Willie Parker,2008,RB,Steelers,5
D.J. Williams,2008,LB,Broncos,5
Aaron Schobel,2008,DE,Bills,5
Marcus Washington,2008,LB,Redskins,5
Nick Harper,2008,CB,Titans,5
LaMont Jordan,2008,RB,Patriots,5
Sean Considine,2008,S,Eagles,5
Jared Allen,2008,DE,Vikings,5
Selvin Young,2008,RB,Broncos,5
John Henderson,2008,DT,Jaguars,5
Charles Woodson,2008,CB,Packers,5
Chartric Darby,2008,DT,Lions,5
Marlon McCree,2008,S,Broncos,5
Ty Warren,2008,DE,Patriots,5
Champ Bailey,2008,CB,Broncos,5
Chad Clifton,2008,T,Packers,5
Antwan Odom,2008,DE,Bengals,5
T.J. Houshmandzadeh,2008,WR,Bengals,5
Levi Jones,2008,T,Bengals,5
