Player,Season,Position,Team,TotalInjuryCount
Calvin Pryor,2014,S,Jets,2
Cameron Lawrence,2014,LB,Cowboys,2
Captain Munnerlyn,2014,CB,Vikings,2
Carrington Byndom,2014,CB,Panthers,2
Golden Tate,2014,WR,Lions,2
George Wilson,2014,S,Titans,2
Geoff Schwartz,2014,G,Giants,2
James Hanna,2014,TE,Cowboys,2
Jared Cook,2014,TE,Rams,2
Gavin Escobar,2014,TE,Cowboys,2
Brian Robison,2014,DE,Vikings,2
A.J. Edds,2014,LB,Jets,2
Barry Cofield,2014,DT,Redskins,2
Beau Allen,2014,DT,Eagles,2
Jim Leonhard,2014,S,Browns,2
Benjamin Watson,2014,TE,Saints,2
Jerome Felton,2014,RB,Vikings,2
Jerod Mayo,2014,LB,Patriots,2
Bilal Powell,2014,RB,Jets,2
Jayson DiManche,2014,LB,Bengals,2
Jay Elliott,2014,LB,Packers,2
Bradley Fletcher,2014,CB,Eagles,2
Brandon Linder,2014,G,Jaguars,2
Jason Pierre-Paul,2014,DE,Giants,2
Brian De La Puente,2014,C,Bears,2
Jarvis Landry,2014,WR,Dolphins,2
Jarrett Bush,2014,CB,Packers,2
Brian Hoyer,2014,QB,Browns,2
Jarret Johnson,2014,LB,Chargers,2
Jaron Brown,2014,WR,Cardinals,2
Geno Atkins,2014,DT,Bengals,2
Gabe Miller,2014,LB,Redskins,2
John Carlson,2014,TE,Cardinals,2
Desmond Bishop,2014,LB,Cardinals,2
Craig Stevens,2014,TE,Titans,2
Crockett Gillmore,2014,TE,Ravens,2
Deone Bucannon,2014,S,Cardinals,2
D.J. Hayden,2014,CB,Raiders,2
Da'Quan Bowers,2014,DE,Buccaneers,2
Demetri Goodson,2014,CB,Packers,2
Da'Quan Bowers,2014,DT,Buccaneers,2
Demarcus Lawrence,2014,DE,Cowboys,2
Damaris Johnson,2014,WR,Texans,2
DeVier Posey,2014,WR,Texans,2
Davon Coleman,2014,DT,Cowboys,2
David Fales,2014,QB,Bears,2
Damian Williams,2014,WR,Rams,2
Damien Williams,2014,RB,Dolphins,2
Darrius Heyward-Bey,2014,WR,Steelers,2
Darrion Weems,2014,T,Cowboys,2
Darrin Reaves,2014,RB,Panthers,2
Darren Sproles,2014,RB,Eagles,2
Danieal Manning,2014,S,Texans,2
Corey Wootton,2014,DE,Vikings,2
Devin Taylor,2014,DE,Lions,2
Frankie Hammond,2014,WR,Chiefs,2
Dion Jordan,2014,DE,Dolphins,2
Frank Kearse,2014,DE,Redskins,2
Fletcher Cox,2014,DE,Eagles,2
Chase Reynolds,2014,RB,Rams,2
Ethan Westbrooks,2014,DE,Rams,2
Eric Martin,2014,LB,Browns,2
Chris Clark,2014,T,Broncos,2
Chris Cook,2014,CB,Niners,2
Ego Ferguson,2014,DT,Bears,2
Eddie Royal,2014,WR,Chargers,2
Chris Watt,2014,G,Chargers,2
E.J. Biggers,2014,CB,Redskins,2
Dustin Colquitt,2014,P,Chiefs,2
Cody Davis,2014,S,Rams,2
Dre Kirkpatrick,2014,CB,Bengals,2
Cody Wallace,2014,C,Steelers,2
Donte Whitner,2014,S,Browns,2
Don Jones,2014,S,Patriots,2
Don Jones,2014,S,Dolphins,2
Domata Peko Sr.,2014,DT,Bengals,2
Joe Staley,2014,T,Niners,2
Danny McCray,2014,S,Bears,2
Adam Snyder,2014,G,Giants,2
Andrew Gachkar,2014,LB,Chargers,2
Akeem Ayers,2014,LB,Patriots,2
Kelvin Benjamin,2014,WR,Panthers,2
Josh Norman,2014,CB,Panthers,2
Justin Forsett,2014,RB,Ravens,2
Kevin Minter,2014,LB,Cardinals,2
Jonathan Casillas,2014,LB,Buccaneers,2
Justin Britt,2014,T,Seahawks,2
Anthony Dixon,2014,RB,Bills,2
Justin Hunter,2014,WR,Titans,2
Kemal Ishmael,2014,S,Falcons,2
Kenbrell Thompkins,2014,WR,Raiders,2
Antoine Bethea,2014,S,Niners,2
Jonathan Grimes,2014,RB,Texans,2
Andrew Sendejo,2014,S,Vikings,2
Antone Smith,2014,RB,Falcons,2
Jonathan Massaquoi,2014,DE,Falcons,2
Alex Smith,2014,QB,Chiefs,2
Ahmad Brooks,2014,LB,Niners,2
Josh McNary,2014,LB,Colts,2
LaMarr Woodley,2014,DE,Raiders,2
Alfred Morris,2014,RB,Redskins,2
John Hughes,2014,DE,Browns,2
Lamin Barrow,2014,LB,Broncos,2
Lamarcus Joyner,2014,S,Rams,2
LaRoy Reynolds,2014,LB,Jaguars,2
Johnathan Cyprien,2014,S,Jaguars,2
Alfred Blue,2014,RB,Texans,2
Ashlee Palmer,2014,LB,Lions,2
A.Q. Shipley,2014,C,Colts,2
Bacarri Rambo,2014,S,Bills,2
Colin Kaepernick,2014,QB,Niners,1
Alec Ogletree,2014,LB,Rams,1
Corey Hilliard,2014,T,Lions,1
Alex Boone,2014,G,Niners,1
Will Sutton,2014,DT,Bears,1
Alex Mack,2014,C,Browns,1
Colt McCoy,2014,QB,Redskins,1
Albert McClellan,2014,LB,Ravens,1
Alan Branch,2014,DT,Patriots,1
Cordy Glenn,2014,T,Bills,1
Connor Barwin,2014,LB,Eagles,1
Barry Church,2014,S,Cowboys,1
Clark Harris,2014,LS,Bengals,1
Chris Matthews,2014,WR,Seahawks,1
Chris Carter,2014,LB,Bengals,1
Weston Richburg,2014,G,Giants,1
Will Blackmon,2014,CB,Jaguars,1
Alex Smith,2014,TE,Bengals,1
Spencer Lanning,2014,P,Browns,1
Chris Hairston,2014,T,Bills,1
Chris Lewis-Harris,2014,CB,Bengals,1
Chris Ogbonnaya,2014,RB,Panthers,1
Chykie Brown,2014,CB,Ravens,1
Chris Scott,2014,G,Panthers,1
Sherrod Martin,2014,S,Jaguars,1
Alameda Ta'amu,2014,DT,Cardinals,1
Will Hill,2014,S,Ravens,1
Will Johnson,2014,RB,Steelers,1
Christian Yount,2014,LS,Browns,1
Christo Bilukidi,2014,DT,Ravens,1
Seyi Ajirotutu,2014,WR,Chargers,1
Sean Richardson,2014,S,Packers,1
Corey Nelson,2014,LB,Broncos,1
Aaron Dobson,2014,WR,Patriots,1
Dalton Freeman,2014,C,Jets,1
Abry Jones,2014,DT,Jaguars,1
Ryan Seymour,2014,T,Browns,1
Aaron Donald,2014,DT,Rams,1
Damian Williams,2014,WR,Dolphins,1
Ryan Mundy,2014,S,Bears,1
Ryan Miller,2014,T,Chargers,1
Ryan Miller,2014,G,Chargers,1
Aaron Colvin,2014,CB,Jaguars,1
Ryan Taylor,2014,TE,Browns,1
AJ McCarron,2014,QB,Bengals,1
Ryan Mallett,2014,QB,Texans,1
Damontre Moore,2014,DE,Giants,1
Ryan Hewitt,2014,TE,Bengals,1
Ryan Fitzpatrick,2014,QB,Texans,1
Dane Sanzenbacher,2014,WR,Bengals,1
Zane Beadles,2014,G,Jaguars,1
Daniel Fells,2014,TE,Giants,1
Zach Kerr,2014,DT,Colts,1
Ryan Wendell,2014,G,Patriots,1
Corey Peters,2014,DT,Falcons,1
Craig Loston,2014,S,Jaguars,1
Al Louis-Jean,2014,CB,Bears,1
Sebastian Vollmer,2014,T,Patriots,1
Sebastian Janikowski,2014,K,Raiders,1
Winston Guy,2014,S,Jaguars,1
Sean Spence,2014,LB,Steelers,1
Corey White,2014,CB,Saints,1
Chase Minnifield,2014,CB,Redskins,1
Courtney Upshaw,2014,LB,Ravens,1
Akeem Spence,2014,DT,Buccaneers,1
Saalim Hakim,2014,WR,Jets,1
Crezdon Butler,2014,CB,Buccaneers,1
Scott Chandler,2014,TE,Bills,1
Cullen Loeffler,2014,LS,Vikings,1
Cyril Richardson,2014,G,Bills,1
Adrian Peterson,2014,RB,Vikings,1
Zach Brown,2014,LB,Titans,1
Sam Acho,2014,LB,Cardinals,1
Adrian Clayborn,2014,DE,Buccaneers,1
Wesley Woodyard,2014,LB,Titans,1
Cedric Thornton,2014,DE,Eagles,1
Charles Tillman,2014,CB,Bears,1
Terren Jones,2014,T,Titans,1
Antrel Rolle,2014,S,Giants,1
Brandon Mebane,2014,DT,Seahawks,1
Brandon Mosley,2014,G,Giants,1
Brandon Tate,2014,WR,Bengals,1
Tim Lelito,2014,C,Saints,1
Brandon Weeden,2014,QB,Cowboys,1
Brandon Williams,2014,TE,Panthers,1
Brent Grimes,2014,CB,Dolphins,1
Thomas Morstead,2014,P,Saints,1
Brett Brackett,2014,TE,Titans,1
Antonio Smith,2014,DT,Raiders,1
Thomas Davis,2014,DT,Panthers,1
Antonio Cromartie,2014,CB,Cardinals,1
Antonio Brown,2014,WR,Steelers,1
Anthony Sherman,2014,RB,Chiefs,1
Anthony Levine,2014,S,Ravens,1
Brian Winters,2014,T,Jets,1
Anthony Levine,2014,CB,Ravens,1
Britton Colquitt,2014,P,Broncos,1
Tom Compton,2014,T,Redskins,1
Brandon Carr,2014,CB,Cowboys,1
Arthur Brown,2014,LB,Ravens,1
Bennie Logan,2014,DT,Eagles,1
Austin Pettis,2014,WR,Rams,1
Austin Johnson,2014,RB,Saints,1
Travis Benjamin,2014,WR,Browns,1
Ben Grubbs,2014,G,Saints,1
Austin Howard,2014,G,Raiders,1
Tramon Williams,2014,CB,Packers,1
Trevor Graham,2014,WR,Jets,1
Tramain Jacobs,2014,CB,Ravens,1
Benny Cunningham,2014,RB,Rams,1
Bobby Massie,2014,T,Cardinals,1
Asa Jackson,2014,CB,Ravens,1
Benson Mayowa,2014,DE,Raiders,1
Bernard Pollard,2014,S,Titans,1
Tony McDaniel,2014,DT,Seahawks,1
Arthur Moats,2014,LB,Steelers,1
Billy Cundiff,2014,K,Browns,1
Trindon Holliday,2014,WR,Buccaneers,1
Tony Jefferson,2014,S,Cardinals,1
Tyvon Branch,2014,S,Raiders,1
Anthony Denham,2014,TE,Texans,1
Stephen Paea,2014,DT,Bears,1
Brock Vereen,2014,S,Bears,1
C.J. Wilson,2014,DE,Raiders,1
Caleb Sturgis,2014,K,Dolphins,1
T.J. McDonald,2014,S,Rams,1
Andrew Jackson,2014,LB,Colts,1
Vincent Rey,2014,LB,Bengals,1
Caraun Reid,2014,DT,Lions,1
Cary Williams,2014,CB,Eagles,1
Casey Hayward,2014,CB,Packers,1
Casey Matthews,2014,LB,Eagles,1
Vladimir Ducasse,2014,G,Vikings,1
Von Miller,2014,LB,Broncos,1
Cassius Marsh,2014,DE,Seahawks,1
Andre Williams,2014,RB,Giants,1
Stevan Ridley,2014,RB,Patriots,1
Andre Holmes,2014,WR,Raiders,1
Andre Caldwell,2014,WR,Broncos,1
Chance Warmack,2014,G,Titans,1
Charles Godfrey,2014,CB,Panthers,1
Allen Robinson,2014,WR,Jaguars,1
Andrew Norwell,2014,G,Panthers,1
Tahir Whitehead,2014,LB,Lions,1
Victor Butler,2014,LB,Colts,1
Bruce Miller,2014,RB,Niners,1
Terrance Mitchell,2014,CB,Bears,1
Terrance Knighton,2014,T,Broncos,1
Terrance Knighton,2014,DT,Broncos,1
Bruce Gaston,2014,DT,Dolphins,1
Tenny Palepoi,2014,DT,Chargers,1
Andy Mulumba,2014,LB,Packers,1
Bruce Gaston,2014,DT,Packers,1
Ted Larsen,2014,G,Cardinals,1
Vance Walker,2014,DE,Chiefs,1
C.J. Spiller,2014,RB,Bills,1
Taylor Mays,2014,S,Bengals,1
Bryan Anger,2014,P,Jaguars,1
Taylor Gabriel,2014,WR,Browns,1
Taylor Boggs,2014,C,Bears,1
C.J. Mosley,2014,DT,Lions,1
Vance Walker,2014,DT,Chiefs,1
Andy Dalton,2014,QB,Bengals,1
C.J. Mosley,2014,LB,Ravens,1
Landry Jones,2014,QB,Steelers,1
Derek Carrier,2014,TE,Niners,1
Darius Slay,2014,CB,Lions,1
Jerry Franklin,2014,LB,Chiefs,1
Jimmy Clausen,2014,QB,Bears,1
Joe Flacco,2014,QB,Ravens,1
Maurice Alexander,2014,S,Rams,1
Joe McKnight,2014,RB,Chiefs,1
John Abraham,2014,LB,Cardinals,1
John Conner,2014,RB,Jets,1
John Greco,2014,G,Browns,1
John Hughes,2014,DT,Browns,1
Matt Elam,2014,S,Ravens,1
Matt Bryant,2014,K,Falcons,1
John Jenkins,2014,DT,Saints,1
John Sullivan,2014,C,Vikings,1
Johnnie Troutman,2014,G,Chargers,1
Marvin Austin,2014,DT,Broncos,1
Johnny Manziel,2014,QB,Browns,1
Jonathan Dwyer,2014,RB,Cardinals,1
Jonathan Martin,2014,T,Niners,1
Jordan Todman,2014,RB,Jaguars,1
Marquess Wilson,2014,WR,Bears,1
Jorvorskie Lane,2014,RB,Buccaneers,1
Joseph Morgan,2014,WR,Saints,1
Joseph Randle,2014,RB,Cowboys,1
Josh Bynes,2014,LB,Lions,1
Jim Leonhard,2014,CB,Browns,1
Jerrell Powe,2014,DT,Texans,1
Darrell Stuckey,2014,S,Chargers,1
Micah Hyde,2014,S,Packers,1
Jarvis Jenkins,2014,DE,Redskins,1
Jason Avant,2014,WR,Panthers,1
Mike Jenkins,2014,CB,Buccaneers,1
Mike James,2014,RB,Buccaneers,1
Jason Jones,2014,DE,Lions,1
Jason McCourty,2014,CB,Titans,1
Mike DeVito,2014,DE,Chiefs,1
Mike Daniels,2014,DT,Packers,1
Mike Brown,2014,WR,Jaguars,1
Mike Adams,2014,T,Steelers,1
Jason Peters,2014,T,Eagles,1
Michael Wilhoite,2014,LB,Niners,1
Michael Schofield,2014,T,Broncos,1
Michael Roos,2014,T,Titans,1
Jason Williams,2014,CB,Buccaneers,1
Michael Ola,2014,G,Bears,1
Jason Worilds,2014,LB,Steelers,1
Jaye Howard,2014,DE,Chiefs,1
Jeff Allen,2014,G,Chiefs,1
Jeremy Harris,2014,CB,Jaguars,1
Jeremy Maclin,2014,WR,Eagles,1
Jeremy Ross,2014,WR,Lions,1
Jerome Couplin,2014,S,Lions,1
Josh Chapman,2014,DT,Colts,1
Josh Gordon,2014,WR,Browns,1
Josh Gordy,2014,CB,Colts,1
Mark Barron,2014,S,Buccaneers,1
Kendrick Lewis,2014,S,Texans,1
Louis Murphy,2014,WR,Buccaneers,1
Kerwynn Williams,2014,RB,Cardinals,1
Loucheiz Purifoy,2014,CB,Colts,1
Lorenzo Taliaferro,2014,RB,Ravens,1
Kevin Brock,2014,TE,Bengals,1
Logan Paulsen,2014,TE,Redskins,1
Kevin Dorsey,2014,WR,Packers,1
Kevin Norwood,2014,WR,Seahawks,1
Kevin Pamphile,2014,T,Buccaneers,1
Kevin Vickerson,2014,DT,Chiefs,1
Lemuel Jeanpierre,2014,C,Seahawks,1
Leger Douzable,2014,DE,Jets,1
Kevin Williams,2014,DT,Seahawks,1
LeSean McCoy,2014,RB,Eagles,1
Khalil Mack,2014,LB,Raiders,1
Kony Ealy,2014,DE,Panthers,1
Lawrence Guy,2014,DE,Chargers,1
Kraig Urbik,2014,G,Bills,1
Kyle Juszczyk,2014,RB,Ravens,1
Kyle Nelson,2014,LS,Niners,1
Kyle Orton,2014,QB,Bills,1
Lance Louis,2014,G,Colts,1
Lowell Rose,2014,CB,Dolphins,1
Ken Bishop,2014,DT,Cowboys,1
Luke Joeckel,2014,T,Jaguars,1
Justin Gilbert,2014,CB,Browns,1
Mario Harvey,2014,LB,Colts,1
Mario Addison,2014,DE,Panthers,1
Marcus Thigpen,2014,WR,Bills,1
Josh Scobee,2014,K,Jaguars,1
Josh Thomas,2014,CB,Jets,1
Marcus Gilchrist,2014,S,Chargers,1
Josh Wells,2014,T,Jaguars,1
Jumal Rolle,2014,CB,Texans,1
Junior Galette,2014,LB,Saints,1
Justin Bethel,2014,CB,Cardinals,1
Justin Houston,2014,LB,Chiefs,1
Luther Robinson,2014,DE,Packers,1
Marcedes Lewis,2014,TE,Jaguars,1
Justin Smith,2014,DT,Niners,1
Kadeem Edwards,2014,G,Buccaneers,1
Manny Lawson,2014,DE,Bills,1
Kaluka Maiava,2014,LB,Raiders,1
Kamar Aiken,2014,WR,Ravens,1
Kavell Conner,2014,LB,Chargers,1
Malcolm Jenkins,2014,S,Eagles,1
Keith Tandy,2014,S,Buccaneers,1
Kelvin Beachum,2014,T,Steelers,1
Mike Morgan,2014,LB,Seahawks,1
Jared Crick,2014,DE,Texans,1
James Starks,2014,RB,Packers,1
Earl Thomas,2014,S,Seahawks,1
Derek Wolfe,2014,DE,Broncos,1
Riley Cooper,2014,WR,Eagles,1
Ricky Sapp,2014,LB,Texans,1
Ricky Jean Francois,2014,DE,Colts,1
Richie Brockel,2014,TE,Panthers,1
Derrick Coleman,2014,RB,Seahawks,1
Derrick Morgan,2014,LB,Titans,1
Rhett Ellison,2014,TE,Vikings,1
Desmond Bryant,2014,DT,Browns,1
Reshad Jones,2014,S,Dolphins,1
Dezmen Southward,2014,S,Falcons,1
Reggie Nelson,2014,S,Bengals,1
Rashean Mathis,2014,CB,Lions,1
Don Muhlbach,2014,LS,Lions,1
Donald Stephenson,2014,T,Chiefs,1
Dont'a Hightower,2014,DT,Patriots,1
Ras-I Dowling,2014,CB,Raiders,1
Doug Baldwin,2014,WR,Seahawks,1
Duane Brown,2014,T,Texans,1
Duke Ihenacho,2014,S,Redskins,1
Quinton Coples,2014,LB,Jets,1
Duke Williams,2014,S,Bills,1
Quentin Groves,2014,LB,Titans,1
Rishard Matthews,2014,WR,Dolphins,1
Lane Taylor,2014,G,Packers,1
Derek Anderson,2014,QB,Panthers,1
DeShawn Shead,2014,S,Seahawks,1
Darrelle Revis,2014,CB,Patriots,1
Ronald Powell,2014,LB,Saints,1
Darryl Tapp,2014,DE,Lions,1
Davante Adams,2014,WR,Packers,1
David Amerson,2014,CB,Redskins,1
David Bakhtiari,2014,T,Packers,1
David Bass,2014,DE,Bears,1
Dawan Landry,2014,S,Jets,1
DeAngelo Tyson,2014,DE,Ravens,1
DeMarcus Ware,2014,DE,Broncos,1
Robert Turbin,2014,RB,Seahawks,1
Rob Sims,2014,G,Lions,1
Robert Quinn,2014,DE,Rams,1
Dee Ford,2014,LB,Chiefs,1
Robert McClain,2014,CB,Falcons,1
Robert Hughes,2014,RB,Cardinals,1
Robert Herron,2014,WR,Buccaneers,1
Demario Davis,2014,LB,Jets,1
Demetrius McCray,2014,CB,Jaguars,1
Robert Ayers,2014,DE,Giants,1
Demontre Hurst,2014,CB,Bears,1
Denard Robinson,2014,RB,Jaguars,1
EJ Manuel,2014,QB,Bills,1
Pierre Desir,2014,CB,Browns,1
James Anderson,2014,LB,Titans,1
Ed Dickson,2014,TE,Panthers,1
Hakeem Nicks,2014,WR,Colts,1
Nick Hardwick,2014,C,Chargers,1
IK Enemkpali,2014,DE,Jets,1
IK Enemkpali,2014,LB,Jets,1
Isaiah Burse,2014,WR,Broncos,1
Ndamukong Suh,2014,DT,Lions,1
Nate Washington,2014,WR,Titans,1
Nate Stupar,2014,LB,Falcons,1
Ishmaa'ily Kitchen,2014,DT,Browns,1
J.T. Thomas,2014,LB,Jaguars,1
JC Tretter,2014,C,Packers,1
Jack Doyle,2014,TE,Colts,1
Nat Berhe,2014,S,Giants,1
NaVorro Bowman,2014,LB,Niners,1
Jackson Jeffcoat,2014,LB,Redskins,1
Morgan Moses,2014,T,Redskins,1
Jacoby Jones,2014,WR,Ravens,1
Jairus Byrd,2014,S,Saints,1
Jakar Hamilton,2014,S,Cowboys,1
Jake Long,2014,T,Rams,1
Mohamed Sanu,2014,WR,Bengals,1
Jake McQuaide,2014,LS,Rams,1
Jalil Brown,2014,CB,Colts,1
Nick Moody,2014,LB,Niners,1
Greg Zuerlein,2014,K,Rams,1
Greg Warren,2014,LS,Steelers,1
Paul Richardson,2014,WR,Seahawks,1
Phillip Supernaw,2014,TE,Ravens,1
Edwin Baker,2014,RB,Saints,1
Elbert Mack,2014,CB,Texans,1
Phil Loadholt,2014,T,Vikings,1
Eli Manning,2014,QB,Giants,1
Peyton Hillis,2014,RB,Giants,1
Pernell McPhee,2014,LB,Ravens,1
Evan Mathis,2014,G,Eagles,1
Fernando Velasco,2014,G,Panthers,1
Fitzgerald Toussaint,2014,RB,Ravens,1
Frank Summers,2014,RB,Bills,1
Nico Johnson,2014,LB,Bengals,1
Paul Hazel,2014,LB,Giants,1
Garrett Hartley,2014,K,Browns,1
Garrison Sanborn,2014,LS,Bills,1
Pat Sims,2014,DT,Raiders,1
Glenn Winston,2014,RB,Browns,1
Glover Quin,2014,S,Lions,1
O'Brien Schofield,2014,DE,Seahawks,1
Greg Hardy,2014,DE,Panthers,1
Niles Paul,2014,TE,Redskins,1
Greg Little,2014,WR,Bengals,1
Joe Reitz,2014,T,Colts,1
Player,Season,Position,Team,TotalInjuryCount
Marshawn Lynch,2015,RB,Seahawks,18
Peyton Manning,2015,QB,Broncos,17
Travis Kelce,2015,TE,Chiefs,16
Owen Daniels,2015,TE,Broncos,16
Charles Woodson,2015,S,Raiders,15
Johnny Manziel,2015,QB,Browns,15
Michael Bennett,2015,DE,Seahawks,15
Dez Bryant,2015,WR,Cowboys,15
Jason Hatcher,2015,DE,Redskins,14
NaVorro Bowman,2015,LB,Niners,14
Allen Hurns,2015,WR,Jaguars,14
Leon Hall,2015,CB,Bengals,14
Joe Thomas,2015,T,Browns,14
Bryan Bulaga,2015,T,Packers,14
DeAngelo Hall,2015,CB,Redskins,14
Tamba Hali,2015,LB,Chiefs,14
James Harrison,2015,LB,Steelers,14
Jadeveon Clowney,2015,LB,Texans,14
Eric Decker,2015,WR,Jets,14
Sammie Lee Hill,2015,DT,Titans,14
Pernell McPhee,2015,LB,Bears,14
DeMarcus Ware,2015,LB,Broncos,14
Derek Newton,2015,T,Texans,13
Dannell Ellerbe,2015,LB,Saints,13
Randy Starks,2015,DE,Browns,13
Andrew Whitworth,2015,T,Bengals,13
Matt Spaeth,2015,TE,Steelers,13
Terron Armstead,2015,T,Saints,12
Eddie Royal,2015,WR,Bears,12
Ahmad Brooks,2015,LB,Niners,12
Daryl Smith,2015,LB,Ravens,12
Alex Boone,2015,G,Niners,12
Ryan Shazier,2015,LB,Steelers,12
Chris Polk,2015,RB,Texans,12
King Dunlap,2015,T,Chargers,12
Dwan Edwards,2015,DT,Panthers,12
D'Qwell Jackson,2015,LB,Colts,12
Kareem Jackson,2015,CB,Texans,12
DeSean Jackson,2015,WR,Redskins,12
Andrew Luck,2015,QB,Colts,11
Dont'a Hightower,2015,LB,Patriots,11
Julian Edelman,2015,WR,Patriots,11
Marques Colston,2015,WR,Saints,11
Keenan Lewis,2015,CB,Saints,11
Chris Hairston,2015,T,Chargers,11
Ben Jones,2015,C,Texans,11
T.J. Lang,2015,G,Packers,11
Alshon Jeffery,2015,WR,Bears,11
Joe Haden,2015,CB,Browns,11
Gerald McCoy,2015,DT,Buccaneers,11
Chris Clemons,2015,DE,Jaguars,11
Chris Canty,2015,DE,Ravens,11
Frostee Rucker,2015,DT,Cardinals,11
Perry Riley,2015,LB,Redskins,11
Will Allen,2015,S,Steelers,11
John Miller,2015,G,Bills,10
Robert Mathis,2015,LB,Colts,10
Ryan Fitzpatrick,2015,QB,Jets,10
Ryan Harris,2015,T,Broncos,10
Brandon Marshall,2015,WR,Jets,10
Julius Thomas,2015,TE,Jaguars,10
John Brown,2015,WR,Cardinals,10
Calvin Johnson,2015,WR,Lions,10
Clay Matthews,2015,LB,Packers,10
Morgan Burnett,2015,S,Packers,10
Austin Seferian-Jenkins,2015,TE,Buccaneers,10
Chris Thompson,2015,RB,Redskins,10
Josh Sitton,2015,G,Packers,10
Josh LeRibeus,2015,C,Redskins,10
Jeff Allen,2015,G,Chiefs,10
Josh Mauga,2015,LB,Chiefs,10
Evan Mathis,2015,G,Broncos,10
Robert Quinn,2015,DE,Rams,10
Keenan Robinson,2015,LB,Redskins,10
Demarcus Dobbs,2015,DE,Seahawks,10
Marqise Lee,2015,WR,Jaguars,10
D.J. Fluker,2015,G,Chargers,10
Jahri Evans,2015,G,Saints,10
Ladarius Green,2015,TE,Chargers,10
Jairus Byrd,2015,S,Saints,10
Victor Cruz,2015,WR,Giants,10
LeSean McCoy,2015,RB,Bills,10
Max Bullough,2015,LB,Texans,10
Louis Vasquez,2015,G,Broncos,9
Orlando Franklin,2015,G,Chargers,9
George Johnson,2015,DE,Buccaneers,9
Alfred Blue,2015,RB,Texans,9
Nick Perry,2015,LB,Packers,9
Shea McClellin,2015,LB,Bears,9
Ben Roethlisberger,2015,QB,Steelers,9
Greg Toler,2015,CB,Colts,9
De'Anthony Thomas,2015,WR,Chiefs,9
Dashon Goldson,2015,S,Redskins,9
Jordan Hill,2015,DT,Seahawks,9
Nick Mangold,2015,C,Jets,9
Eddie Lacy,2015,RB,Packers,9
Cecil Shorts,2015,WR,Texans,9
Jonathan Stewart,2015,RB,Panthers,9
Carlos Hyde,2015,RB,Niners,9
Jermon Bushrod,2015,T,Bears,9
Akeem Dent,2015,LB,Texans,9
Chandler Jones,2015,DE,Patriots,9
Emmanuel Sanders,2015,WR,Broncos,9
Branden Albert,2015,T,Dolphins,9
Joe Staley,2015,T,Niners,9
Justin Coleman,2015,CB,Patriots,9
Breshad Perriman,2015,WR,Ravens,9
Duane Brown,2015,T,Texans,9
Antonio Cromartie,2015,CB,Jets,9
Karlos Williams,2015,RB,Bills,9
Dion Bailey,2015,S,Jets,9
Eugene Monroe,2015,T,Ravens,9
Darian Stewart,2015,S,Broncos,9
Mario Williams,2015,DE,Bills,9
Xavier Su'a-Filo,2015,G,Texans,9
Andre Ellington,2015,RB,Cardinals,9
Ja'Wuan James,2015,T,Dolphins,9
Chris Ivory,2015,RB,Jets,9
Jerrell Freeman,2015,LB,Colts,9
Willie Colon,2015,G,Jets,9
William Gay,2015,CB,Steelers,9
Erik Pears,2015,T,Niners,8
Demarcus Lawrence,2015,DE,Cowboys,8
C.J. Anderson,2015,RB,Broncos,8
Larry Fitzgerald,2015,WR,Cardinals,8
Deandre Levy,2015,LB,Lions,8
Kiko Alonso,2015,LB,Eagles,8
Johnathan Cyprien,2015,S,Jaguars,8
Justin Houston,2015,LB,Chiefs,8
Larry Warford,2015,G,Lions,8
Danny Amendola,2015,WR,Patriots,8
Mike Iupati,2015,G,Cardinals,8
K'Waun Williams,2015,CB,Browns,8
Cory Redding,2015,DT,Cardinals,8
Marlon Moore,2015,WR,Browns,8
Devin Smith,2015,WR,Jets,8
Devin Hester,2015,WR,Falcons,8
Nate Washington,2015,WR,Texans,8
Marcus Cannon,2015,T,Patriots,8
Josh McCown,2015,QB,Browns,8
Manti Te'o,2015,LB,Chargers,8
David Bakhtiari,2015,T,Packers,8
Major Wright,2015,S,Buccaneers,8
Luke Willson,2015,TE,Seahawks,8
Chris Culliver,2015,CB,Redskins,8
Josh Kline,2015,G,Patriots,8
Kendall Wright,2015,WR,Titans,8
Justin Durant,2015,LB,Falcons,8
Leonard Hankerson,2015,WR,Falcons,8
Percy Harvin,2015,WR,Bills,8
Davante Adams,2015,WR,Packers,8
Logan Mankins,2015,G,Buccaneers,8
Mike DeVito,2015,DE,Chiefs,8
Kory Lichtensteiger,2015,C,Redskins,8
Jason McCourty,2015,CB,Titans,8
Andre Johnson,2015,WR,Colts,8
Andre Roberts,2015,WR,Redskins,8
Andre Smith,2015,T,Bengals,8
Tracy Porter,2015,CB,Bears,8
Tourek Williams,2015,LB,Chargers,8
Anquan Boldin,2015,WR,Niners,8
Anthony Barr,2015,LB,Vikings,8
Sen'Derrick Marks,2015,DT,Jaguars,8
Husain Abdullah,2015,S,Chiefs,8
Antrel Rolle,2015,S,Bears,8
Jay Elliott,2015,LB,Packers,8
T.J. Yeldon,2015,RB,Jaguars,8
T.J. Ward,2015,S,Broncos,8
Jeff Heath,2015,S,Cowboys,8
George Iloka,2015,S,Bengals,8
Jelani Jenkins,2015,LB,Dolphins,8
Heath Miller,2015,TE,Steelers,8
Sharrif Floyd,2015,DT,Vikings,8
Adam Jones,2015,CB,Bengals,8
Roy Miller,2015,DT,Jaguars,8
