Player,Season,Position,Team,TotalInjuryCount,ConcussionTotal
Demarcus Robinson,2017,WR,Chiefs,1,0
Demarcus Lawrence,2017,DE,Cowboys,4,0
Demar Dotson,2017,T,Buccaneers,3,0
Delanie Walker,2017,TE,Titans,6,0
Dekoda Watson,2017,LB,49ers,3,0
Deion Jones,2017,LB,Falcons,3,0
Dee Ford,2017,LB,Chiefs,9,0
Dede Westbrook,2017,WR,Jaguars,1,0
Deatrich Wise,2017,DE,Patriots,3,0
Deandre Coleman,2017,DT,Bills,1,0
DeVante Parker,2017,WR,Dolphins,7,0
DeShone Kizer,2017,QB,Browns,2,0
DeSean Jackson,2017,WR,Buccaneers,3,0
DeMarcus Walker,2017,DE,Broncos,1,0
DeMarco Murray,2017,RB,Titans,6,0
DeForest Buckner,2017,DT,49ers,4,0
DeAngelo Hall,2017,S,Redskins,1,0
Demario Davis,2017,LB,Jets,1,0
Demaryius Thomas,2017,WR,Chargers,1,0
Derrick Morgan,2017,LB,Titans,5,0
Demetri Goodson,2017,CB,Packers,3,0
Derrick Kindred,2017,S,Browns,1,0
Derek Wolfe,2017,DE,Chargers,1,0
Derek Wolfe,2017,DE,Broncos,3,0
Derek Carrier,2017,TE,Rams,3,0
Derek Carr,2017,QB,Raiders,2,0
Derek Barnett,2017,DE,Eagles,5,0
Derek Anderson,2017,QB,Panthers,1,0
Deonte Thompson,2017,WR,Bills,4,0
Deone Bucannon,2017,LB,Cardinals,6,0
Deon Lacey,2017,LB,Bills,1,0
Deon Bush,2017,S,Bears,4,0
Denzelle Good,2017,T,Colts,3,0
Denzel Perryman,2017,LB,Chargers,5,0
Denico Autry,2017,DE,Raiders,4,0
Demetrius McCray,2017,CB,Raiders,1,0
Demetrius Harris,2017,TE,Chiefs,2,0
Demetrious Cox,2017,S,Panthers,3,0
Dwayne Washington,2017,RB,Lions,9,0
Dwight Freeney,2017,DE,Lions,4,0
Dwight Freeney,2017,DE,Seahawks,2,0
Garrett Celek,2017,TE,49ers,3,0
Gareon Conley,2017,CB,Raiders,9,0
Gabe Martin,2017,LB,Cardinals,3,0
Gabe Jackson,2017,G,Raiders,7,0
Frostee Rucker,2017,DT,Cardinals,7,0
Freddie Bishop,2017,LB,Jets,1,0
Frank Gore,2017,RB,Colts,16,0
Frank Clark,2017,DE,Seahawks,3,0
Frank Clark,2017,DE,49ers,1,0
Fozzy Whittaker,2017,RB,Panthers,3,0
Fletcher Cox,2017,DT,Eagles,5,0
Fabian Moreau,2017,CB,Redskins,3,0
Ezekiel Elliott,2017,RB,Cowboys,2,0
Ezekiel Ansah,2017,DE,Lions,13,0
Everson Griffen,2017,DE,Vikings,4,0
Evan Smith,2017,C,Buccaneers,1,0
Evan Engram,2017,TE,Giants,2,0
Ethan Pocic,2017,C,Seahawks,2,0
Garett Bolles,2017,T,Broncos,2,0
Garrett Griffin,2017,TE,Saints,2,0
Eric Wood,2017,C,Bills,1,0
Garry Gilliam,2017,T,49ers,1,0
Greg Mabin,2017,CB,49ers,3,0
Graham Gano,2017,K,Panthers,4,0
Grady Jarrett,2017,DT,Falcons,4,0
Golden Tate,2017,WR,Lions,2,0
Glover Quin,2017,S,Lions,4,0
Giovani Bernard,2017,RB,Bengals,3,0
Geronimo Allison,2017,WR,Packers,1,0
Germain Ifedi,2017,T,Seahawks,1,0
Gerald McCoy,2017,DT,Buccaneers,9,0
Gerald Hodges,2017,LB,Saints,1,0
Gerald Everett,2017,TE,Rams,1,0
George Kittle,2017,TE,Panthers,1,0
George Kittle,2017,TE,49ers,10,0
George Iloka,2017,S,Bengals,3,0
Geoff Swaim,2017,TE,Cowboys,3,0
Geno Smith,2017,QB,Giants,1,0
Geno Atkins,2017,DT,Bengals,2,0
Erik Walden,2017,LB,Titans,2,0
Eric Winston,2017,G,Bengals,1,0
Dylan Cole,2017,LB,Texans,7,0
Elijah McGuire,2017,RB,Jets,2,0
Eli Harold,2017,LB,49ers,1,0
Eli Apple,2017,CB,Packers,1,0
Eli Apple,2017,CB,Giants,4,0
Elandon Roberts,2017,LB,Patriots,5,0
Edmond Robinson,2017,LB,Jets,1,0
Eddie Yarbrough,2017,DE,Bills,3,0
Eddie Pleasant,2017,S,Texans,1,0
Eddie Lacy,2017,RB,Seahawks,3,0
Eddie Jackson,2017,S,Bears,1,0
Eddie Goldman,2017,DT,Bears,2,0
Ed Stinson,2017,DT,Jets,2,0
Ed Dickson,2017,TE,Panthers,1,0
Earl Watford,2017,G,Cardinals,3,0
Earl Thomas,2017,S,Seahawks,12,0
Earl Mitchell,2017,DT,49ers,8,0
E.J. Gaines,2017,CB,Bills,9,0
Dylan Donahue,2017,LB,Jets,1,0
Elijah Lee,2017,LB,49ers,2,0
Elijah Wilkinson,2017,T,Broncos,1,0
Eric Weddle,2017,S,Ravens,2,0
Elijhaa Penny,2017,RB,Cardinals,2,0
Eric Tomlinson,2017,TE,Jets,4,0
Eric Smith,2017,T,Dolphins,1,0
Eric Saubert,2017,TE,Falcons,3,0
Eric Rowe,2017,CB,Patriots,11,0
Eric Reid,2017,S,49ers,14,0
Eric Murray,2017,S,Chiefs,4,0
Eric Lee,2017,DE,Patriots,4,0
Eric Kendricks,2017,LB,Vikings,4,0
Eric Fisher,2017,T,Chiefs,4,0
Eric Ebron,2017,TE,Lions,1,0
Eric Decker,2017,WR,Titans,2,0
Ereck Flowers,2017,T,Giants,2,0
Emmett Cleary,2017,T,Lions,4,0
Emmanuel Sanders,2017,WR,Broncos,10,0
Emmanuel Ogbah,2017,DE,Browns,1,0
Emmanuel Lamur,2017,LB,Vikings,5,0
Elvis Dumervil,2017,DE,49ers,11,0
Ziggy Hood,2017,DT,Redskins,1,0
Player,Season,Position,Team,TotalInjuryCount,ConcussionTotal
Maurice Harris,2018,WR,Redskins,6,5
Neal Sterling,2018,TE,Jets,6,5
Mitch Morse,2018,C,Chiefs,8,5
Derek Anderson,2018,QB,Bills,7,5
Vontaze Burfict,2018,LB,Bengals,7,4
Tony McRae,2018,CB,Bengals,7,3
Ryan Lewis,2018,CB,Bills,3,3
Marcus Cannon,2018,T,Patriots,7,3
Josh Martin,2018,LB,Jets,4,3
Denzel Ward,2018,CB,Browns,6,3
Quincy Wilson,2018,CB,Colts,6,3
Chris Milton,2018,CB,Colts,6,2
Gareon Conley,2018,CB,Raiders,6,2
Lucas Patrick,2018,G,Packers,5,2
Buster Skrine,2018,CB,Jets,10,2
T.J. Lang,2018,G,Lions,7,2
Vernon Davis,2018,TE,Redskins,4,2
Kentrell Brice,2018,S,Packers,8,2
Alec Ogletree,2018,LB,Giants,5,2
Trae Waynes,2018,CB,Vikings,6,2
Trai Turner,2018,G,Panthers,6,2
Tremaine Edmunds,2018,LB,Bills,2,2
Trey Flowers,2018,DE,Patriots,3,2
Antwaun Woods,2018,DT,Cowboys,5,2
Jason Spriggs,2018,T,Packers,4,2
Clayton Geathers,2018,S,Colts,17,2
Jawill Davis,2018,WR,Giants,5,2
E.J. Gaines,2018,CB,Browns,6,2
Patrick Chung,2018,S,Patriots,3,2
Dion Sims,2018,TE,Bears,2,2
Kenny Moore II,2018,CB,Colts,4,1
Jack Conklin,2018,T,Titans,6,1
Brandon Facyson,2018,CB,Chargers,1,1
Derek Wolfe,2018,DE,Broncos,5,1
Bradley Roby,2018,CB,Broncos,6,1
Kerry Wynn,2018,DE,Giants,4,1
Mike Tyson,2018,CB,Texans,3,1
Blaine Gabbert,2018,QB,Titans,2,1
James Burgess,2018,LB,Browns,6,1
Randy Gregory,2018,DE,Cowboys,9,1
Randall Cobb,2018,WR,Packers,13,1
Brendan Langley,2018,CB,Broncos,2,1
Darius Slay,2018,CB,Lions,7,1
Ben Gedeon,2018,LB,Vikings,2,1
Ben Braunecker,2018,TE,Bears,2,1
Jared Veldheer,2018,T,Broncos,7,1
Austin Ekeler,2018,RB,Chargers,7,1
DeSean Jackson,2018,WR,Buccaneers,7,1
Nick Boyle,2018,TE,Ravens,1,1
Nick Perry,2018,LB,Packers,7,1
Kyle Wilson,2018,LB,Chargers,1,1
Taylor Lewan,2018,T,Titans,6,1
Maurice Alexander,2018,S,Seahawks,3,1
Isaiah Johnson,2018,S,Buccaneers,3,1
Dre Kirkpatrick,2018,CB,Bengals,9,1
Equanimeous St. Brown,2018,WR,Packers,6,1
Michael Johnson,2018,DE,Bengals,7,1
Eric Ebron,2018,TE,Colts,9,1
Marlon Mack,2018,RB,Colts,10,1
Seth Roberts,2018,WR,Raiders,2,1
Cassius Marsh,2018,DE,49ers,1,1
Antone Exum,2018,S,49ers,4,1
Rick Wagner,2018,T,Lions,2,1
Garrett Celek,2018,TE,49ers,3,1
Luke Willson,2018,TE,Lions,3,1
Geronimo Allison,2018,WR,Packers,4,1
Rhett Ellison,2018,TE,Giants,4,1
Rex Burkhead,2018,RB,Patriots,1,1
Da'Norris Searcy,2018,S,Panthers,2,1
LeSean McCoy,2018,RB,Bills,5,1
Tanner Vallejo,2018,LB,Browns,5,1
Laremy Tunsil,2018,T,Dolphins,9,1
Isaiah Johnson,2018,CB,Buccaneers,1,1
Shawn Williams,2018,S,Bengals,3,1
Nico Falah,2018,C,Broncos,1,1
Adam Redmond,2018,G,Cowboys,2,1
Andrus Peat,2018,G,Saints,1,1
Tyrod Taylor,2018,QB,Browns,2,1
Jordan Whitehead,2018,S,Buccaneers,4,1
Jonathan Woodard,2018,DE,Dolphins,1,1
Josh Wells,2018,T,Jaguars,2,1
Jeremiah Attaochu,2018,LB,Jets,3,1
Ahkello Witherspoon,2018,CB,49ers,5,1
Adam Shaheen,2018,TE,Bears,2,1
Aaron Lynch,2018,LB,Bears,5,1
Josh Doctson,2018,WR,Redskins,7,1
Josh Perkins,2018,TE,Eagles,2,0
Matthew Ioannidis,2018,DE,Redskins,5,0
Matthew Adams,2018,LB,Colts,1,0
Matt Wile,2018,P,Vikings,1,0
Matt Milano,2018,LB,Bills,1,0
Kareem Jackson,2018,CB,Texans,9,0
Matt Longacre,2018,LB,Rams,2,0
Matt LaCosse,2018,TE,Broncos,5,0
Matthew Slater,2018,WR,Patriots,1,0
Matt Feiler,2018,G,Steelers,1,0
Josh Reynolds,2018,WR,Rams,1,0
Matt Dickerson,2018,DT,Titans,1,0
Matthew Judon,2018,LB,Ravens,2,0
Josh Norman,2018,CB,Redskins,4,0
Matthew Stafford,2018,QB,Lions,5,0
Max Unger,2018,C,Rams,1,0
Michael Crabtree,2018,WR,Ravens,5,0
Michael Brockers,2018,DE,Rams,4,0
Michael Bennett,2018,DE,Eagles,10,0
Micah Hyde,2018,S,Bills,3,0
Melvin Gordon,2018,RB,Chargers,10,0
Max Unger,2018,C,Saints,6,0
Max Garcia,2018,G,Broncos,1,0
Matthias Farley,2018,S,Colts,1,0
Maurkice Pouncey,2018,C,Steelers,13,0
Maurice Hurst,2018,DT,Raiders,7,0
Josh Mauro,2018,DT,Giants,1,0
Josh McCown,2018,QB,Jets,2,0
Maurice Canady,2018,CB,Ravens,2,0
Matt Breida,2018,RB,49ers,11,0
Matt Bryant,2018,K,Falcons,6,0
Marvin Jones,2018,WR,Lions,4,0
Mason Schreck,2018,TE,Bengals,1,0
Margus Hunt,2018,DT,Colts,6,0
Mark Walton,2018,RB,Bengals,1,0
Mark Nzeocha,2018,LB,49ers,5,0
Mark Glowinski,2018,G,Colts,3,0
Mark Barron,2018,LB,Rams,6,0
Mario Edwards,2018,DE,Giants,1,0
Mario Addison,2018,DE,Panthers,4,0
Marcus Williams,2018,S,Saints,1,0
Mason Cole,2018,C,Cardinals,1,0
Marcus Williams,2018,CB,Buccaneers,3,0
Marcus Sherels,2018,CB,Vikings,6,0
Marcus Peters,2018,CB,Rams,2,0
Josh Walker,2018,T,Jaguars,1,0
Marcus Murphy,2018,RB,Bills,2,0
Marcus Maye,2018,S,Jets,12,0
Markus Golden,2018,DE,Cardinals,10,0
Marlon Humphrey,2018,CB,Ravens,5,0
Josh Walker,2018,G,Jaguars,4,0
Marquette King,2018,P,Broncos,1,0
Marquis Haynes,2018,DE,Panthers,2,0
Marquise Goodwin,2018,WR,49ers,9,0
Marshal Yanda,2018,G,Ravens,8,0
Josh Tupou,2018,DT,Bengals,1,0
Marshall Newhouse,2018,T,Panthers,2,0
Josh Sweat,2018,DE,Eagles,1,0
Marshawn Lynch,2018,RB,Raiders,6,0
Marshon Lattimore,2018,CB,Saints,1,0
Josh Sitton,2018,G,Dolphins,2,0
Josh Rosen,2018,QB,Cardinals,1,0
Martavis Bryant,2018,WR,Raiders,4,0
Martinas Rankin,2018,T,Texans,2,0
Marvin Hall,2018,WR,Falcons,2,0
Michael Gallup,2018,WR,Cowboys,2,0
Mike Adams,2018,S,Panthers,9,0
Michael Pierce,2018,DT,Ravens,4,0
Nathan Shepherd,2018,DE,Jets,2,0
Josh Gordon,2018,WR,Patriots,7,0
Montae Nicholson,2018,S,Redskins,7,0
Montrel Meander,2018,CB,Raiders,1,0
Morgan Burnett,2018,S,Steelers,7,0
Morgan Moses,2018,T,Redskins,12,0
Morris Claiborne,2018,CB,Jets,9,0
Muhammad Wilkerson,2018,DE,Packers,1,0
Mychal Kendricks,2018,LB,Seahawks,1,0
Myles Garrett,2018,DE,Browns,2,0
Nate Ebner,2018,S,Patriots,6,0
Josh Gordon,2018,WR,Browns,2,0
Nate Gerry,2018,LB,Eagles,6,0
Nate Hairston,2018,CB,Colts,8,0
Nate Solder,2018,T,Giants,2,0
Nazair Jones,2018,DT,Seahawks,1,0
Mo Alie-Cox,2018,TE,Colts,4,0
Ndamukong Suh,2018,DT,Rams,4,0
Neiko Thorpe,2018,CB,Seahawks,5,0
Josh Bynes,2018,LB,Cardinals,6,0
Neville Hewitt,2018,LB,Jets,2,0
Nevin Lawson,2018,CB,Lions,2,0
Nicholas Grigsby,2018,LB,Patriots,1,0
Nick Bellore,2018,RB,Lions,4,0
Josh Allen,2018,QB,Bills,5,0
Nick Dzubnar,2018,LB,Chargers,1,0
Nick Foles,2018,QB,Eagles,1,0
Nick Martin,2018,C,Texans,1,0
Nick Nelson,2018,CB,Raiders,4,0
Nick Sundberg,2018,LS,Redskins,1,0
Nick Vannett,2018,TE,Seahawks,2,0
Mohamed Sanu,2018,WR,Falcons,6,0
Mitchell Trubisky,2018,QB,Bears,3,0
Michael Roberts,2018,TE,Lions,8,0
Mike Iupati,2018,G,Cardinals,8,0
Michael Thomas,2018,S,Giants,1,0
Michael Thomas,2018,WR,Saints,3,0
Marcus Kemp,2018,WR,Chiefs,2,0
Mike Boone,2018,RB,Vikings,1,0
Josh Malone,2018,WR,Bengals,5,0
Mike Daniels,2018,DE,Packers,3,0
Mike Davis,2018,RB,Seahawks,2,0
Mike Evans,2018,WR,Buccaneers,2,0
Mike Gesicki,2018,TE,Dolphins,1,0
Josh LeRibeus,2018,G,Saints,1,0
Josh Lambo,2018,K,Jaguars,4,0
Mike Hilton,2018,CB,Steelers,2,0
Mike Hull,2018,LB,Dolphins,1,0
Josh Kline,2018,G,Titans,3,0
Mike McGlinchey,2018,T,49ers,2,0
Josh Harris,2018,LS,Falcons,4,0
Mike Mitchell,2018,S,Colts,8,0
Mike Pennel,2018,DT,Jets,1,0
Mike Person,2018,G,49ers,9,0
Mike Pouncey,2018,C,Chargers,4,0
Mike Remmers,2018,G,Vikings,7,0
Mike Thomas,2018,WR,Rams,1,0
Josh Keyes,2018,LB,Texans,1,0
Josh Jones,2018,S,Packers,4,0
Mike Wallace,2018,WR,Eagles,3,0
Mike Williams,2018,WR,Chargers,1,0
Josh Johnson,2018,QB,Redskins,2,0
Josh Harvey-Clemons,2018,LB,Redskins,1,0
Mitchell Loewen,2018,DE,Saints,2,0
Mitchell Schwartz,2018,T,Chiefs,2,0
Marcus Mariota,2018,QB,Titans,10,0
Marcus Davenport,2018,DE,Saints,6,0
Marcus Gilbert,2018,T,Steelers,11,0
Kentrell Brothers,2018,LB,Vikings,1,0
Kevin Johnson,2018,CB,Texans,1,0
Kevin Byard,2018,S,Titans,1,0
Kerryon Johnson,2018,RB,Lions,6,0
Justin McCray,2018,G,Packers,3,0
Kerry Hyder,2018,DE,Lions,1,0
Kenyan Drake,2018,RB,Dolphins,9,0
Justin Pugh,2018,G,Cardinals,3,0
Kevin McDermott,2018,LS,Vikings,4,0
Kenny Young,2018,LB,Ravens,1,0
Justin Reid,2018,S,Texans,6,0
Kenny Vaccaro,2018,S,Titans,6,0
Juston Burris,2018,CB,Browns,3,0
Kenny Stills,2018,WR,Dolphins,3,0
Kenny Golladay,2018,WR,Lions,3,0
Kevin King,2018,CB,Packers,9,0
Kevin Pierre-Louis,2018,LB,Jets,11,0
Karl Joseph,2018,S,Raiders,8,0
Kyle Long,2018,G,Bears,6,0
Kyzir White,2018,LB,Chargers,5,0
Justin Evans,2018,S,Buccaneers,5,0
Justin Hamilton,2018,DT,Chiefs,2,0
Kyle Williams,2018,DT,Bills,12,0
Kyle Wilber,2018,LB,Raiders,5,0
Kyle Love,2018,DT,Panthers,1,0
Justin Houston,2018,LB,Chiefs,6,0
Justin Jones,2018,DT,Chargers,1,0
Kyle Emanuel,2018,LB,Chargers,2,0
Kurt Coleman,2018,S,Saints,1,0
Korey Cunningham,2018,T,Cardinals,7,0
Kolton Miller,2018,T,Raiders,8,0
Kiko Alonso,2018,LB,Dolphins,3,0
Khalil Mack,2018,LB,Bears,4,0
K'Waun Williams,2018,CB,49ers,7,0
K.J. Wright,2018,LB,Seahawks,16,0
Kenny Clark,2018,DT,Packers,2,0
Keenan Allen,2018,WR,Chargers,5,0
Kamalei Correa,2018,LB,Titans,3,0
Keith Smith,2018,RB,Raiders,3,0
Keith Kirkwood,2018,WR,Rams,1,0
Keishawn Bierria,2018,LB,Broncos,1,0
Keion Crossen,2018,CB,Patriots,3,0
KeiVarae Russell,2018,CB,Bengals,2,0
Kayvon Webster,2018,CB,Texans,5,0
Kenneth Durden,2018,CB,Titans,1,0
Kameron Canaday,2018,LS,Steelers,1,0
Kamu Grugier-Hill,2018,LB,Eagles,2,0
Kawann Short,2018,DT,Panthers,5,0
Kavon Frazier,2018,S,Cowboys,3,0
Kapri Bibbs,2018,RB,Redskins,6,0
Kareem Hunt,2018,RB,Chiefs,1,0
Keke Coutee,2018,WR,Texans,17,0
Kelechi Osemele,2018,G,Raiders,13,0
Kelvin Beachum,2018,T,Jets,16,0
Kalen Ballage,2018,RB,Dolphins,1,0
Kelvin Benjamin,2018,WR,Bills,4,0
Kahlil McKenzie,2018,G,Chiefs,1,0
Kemal Ishmael,2018,S,Falcons,1,0
Kemoko Turay,2018,DE,Colts,3,0
Kendall Fuller,2018,CB,Chiefs,6,0
Kendall Fuller,2018,CB,Patriots,1,0
Kendall Lamm,2018,T,Texans,2,0
Kaelin Clay,2018,WR,Giants,1,0
Kendrick Lewis,2018,S,Titans,4,0
Ka'imi Fairbairn,2018,K,Texans,1,0
Kendrick Norton,2018,DT,Dolphins,1,0
Kenjon Barner,2018,RB,Panthers,1,0
Kenneth Dixon,2018,RB,Ravens,1,0
L.J. Fort,2018,LB,Steelers,2,0
LaAdrian Waddle,2018,T,Patriots,2,0
Lafayette Pitts,2018,CB,Bills,1,0
Luke Kuechly,2018,LB,Panthers,2,0
Malcolm Brown,2018,RB,Rams,1,0
Mackensie Alexander,2018,CB,Vikings,4,0
Mack Hollins,2018,WR,Eagles,1,0
M.J. Stewart,2018,CB,Buccaneers,7,0
Julian Edelman,2018,WR,Patriots,5,0
Luke Stocker,2018,TE,Titans,2,0
Julian Stanford,2018,LB,Bills,3,0
Linval Joseph,2018,DT,Vikings,8,0
Luke Falk,2018,QB,Dolphins,1,0
Luke Bowanko,2018,G,Redskins,1,0
Julie'n Davenport,2018,T,Texans,1,0
Lorenzo Carter,2018,LB,Giants,3,0
Lorenzo Alexander,2018,LB,Bills,12,0
Logan Thomas,2018,TE,Bills,3,0
Malcolm Butler,2018,CB,Titans,2,0
Malcolm Jenkins,2018,S,Eagles,1,0
Malcolm Smith,2018,LB,49ers,7,0
Malcom Brown,2018,DT,Patriots,3,0
JuJu Smith-Schuster,2018,WR,Steelers,2,0
Maliek Collins,2018,DT,Cowboys,10,0
Joshua Kalu,2018,CB,Titans,1,0
Malik Hooker,2018,S,Colts,14,0
Joshua Holsey,2018,CB,Redskins,1,0
Malik Jackson,2018,DT,Jaguars,1,0
Malik Jefferson,2018,LB,Bengals,1,0
Joshua Garnett,2018,G,49ers,11,0
Manti Te'o,2018,LB,Saints,3,0
MarQueis Gray,2018,TE,Dolphins,1,0
Marcell Dareus,2018,DT,Jaguars,4,0
Marcus Cooper,2018,CB,Bears,5,0
Marcus Cooper,2018,CB,Lions,2,0
Logan Paulsen,2018,TE,Falcons,4,0
Lerentee McCray,2018,DE,Jaguars,6,0
Laken Tomlinson,2018,G,49ers,2,0
Lane Johnson,2018,T,Eagles,6,0
Justin Bethel,2018,CB,Falcons,5,0
Justin Britt,2018,C,Seahawks,2,0
Justin Coleman,2018,CB,Seahawks,1,0
Laquon Treadwell,2018,WR,Vikings,1,0
Lano Hill,2018,S,Seahawks,5,0
Lane Taylor,2018,G,Packers,4,0
Landon Collins,2018,S,Giants,1,0
Leonard Williams,2018,DE,Jets,5,0
Lance Lenoir,2018,WR,Cowboys,1,0
Lamarcus Joyner,2018,S,Rams,2,0
Justin Davis,2018,RB,Rams,3,0
Lamar Miller,2018,RB,Texans,6,0
Justin Ellis,2018,DT,Raiders,1,0
Lamar Jackson,2018,QB,Ravens,3,0
Larry Fitzgerald,2018,WR,Cardinals,15,0
Larry Ogunjobi,2018,DT,Browns,6,0
Larry Warford,2018,G,Saints,6,0
Jurrell Casey,2018,DT,Titans,3,0
Laurent Duvernay-Tardif,2018,G,Patriots,1,0
Lavonte David,2018,LB,Buccaneers,3,0
Le'Raven Clark,2018,T,Colts,1,0
LeGarrette Blount,2018,RB,Lions,5,0
Julius Peppers,2018,DE,Panthers,12,0
Lee Smith,2018,TE,Raiders,3,0
Leon Hall,2018,CB,Raiders,3,0
Leon Jacobs,2018,LB,Jaguars,2,0
Leonard Fournette,2018,RB,Jaguars,10,0
Julio Jones,2018,WR,Falcons,7,0
Leonard Johnson,2018,CB,Cardinals,1,0
Nick Vigil,2018,LB,Bengals,6,0
Leonard Wester,2018,T,Buccaneers,1,0
A'Shawn Robinson,2018,DT,Lions,3,0
Patrick Robinson,2018,CB,Saints,1,0
Nickell Robey-Coleman,2018,CB,Rams,1,0
Tim Patrick,2018,WR,Broncos,2,0
Tom Compton,2018,G,Vikings,6,0
Tom Brady,2018,QB,Patriots,3,0
Todd Gurley,2018,RB,Rams,8,0
Todd Davis,2018,LB,Broncos,4,0
Timmy Jernigan,2018,DT,Eagles,4,0
Tim Williams,2018,LB,Ravens,9,0
Tim Settle,2018,DT,Redskins,1,0
Thomas Rawls,2018,RB,Bengals,1,0
Tommylee Lewis,2018,WR,Saints,1,0
Thomas Morstead,2018,P,Saints,1,0
Thomas Davis,2018,LB,Panthers,4,0
Theo Riddick,2018,RB,Lions,3,0
Tevin Coleman,2018,RB,Falcons,2,0
Terron Armstead,2018,T,Saints,16,0
Terrence Brooks,2018,S,Jets,2,0
Terrelle Pryor,2018,WR,Jets,7,0
Tom Johnson,2018,DT,Vikings,3,0
Tony Bergstrom,2018,G,Redskins,6,0
Terrell McClain,2018,DT,Falcons,2,0
Tre Boston,2018,S,Cardinals,4,0
Trent Murphy,2018,DE,Bills,7,0
Trent Brown,2018,T,Patriots,3,0
Tre'Quan Smith,2018,WR,Saints,2,0
Tre'Davious White,2018,CB,Bills,1,0
Tre Madden,2018,RB,Seahawks,4,0
Tre Herndon,2018,CB,Jaguars,6,0
Tre Flowers,2018,CB,Seahawks,2,0
Travis Swanson,2018,C,Dolphins,7,0
Tony Jefferson,2018,S,Ravens,5,0
Travis Kelce,2018,TE,Chiefs,1,0
Travis Frederick,2018,C,Cowboys,5,0
Travis Benjamin,2018,WR,Chargers,6,0
Tramaine Brock,2018,CB,Broncos,4,0
Tracy Walker III,2018,S,Lions,1,0
Tra Carson,2018,RB,Packers,3,0
Torrey Smith,2018,WR,Panthers,7,0
Terrell Suggs,2018,LB,Ravens,12,0
Terrell Edmunds,2018,S,Steelers,2,0
Trent Taylor,2018,WR,49ers,2,0
Taco Charlton,2018,DE,Cowboys,6,0
Tarell Basham,2018,DE,Colts,1,0
Tanoh Kpassagnon,2018,LB,Chiefs,4,0
Takk McKinley,2018,DE,Falcons,2,0
Tajae Sharpe,2018,WR,Titans,7,0
Taiwan Jones,2018,RB,Bills,4,0
Tahir Whitehead,2018,LB,Raiders,1,0
Tae Davis,2018,LB,Giants,4,0
T.Y. Hilton,2018,WR,Colts,11,0
Taron Johnson,2018,CB,Bills,5,0
T.J. Yeldon,2018,RB,Jaguars,5,0
T.J. McDonald,2018,S,Dolphins,11,0
T.J. Logan,2018,RB,Cardinals,2,0
T.J. Clemmings,2018,T,Raiders,1,0
Steven Hauschka,2018,K,Bills,2,0
Steve McLendon,2018,DT,Jets,9,0
Sterling Shepard,2018,WR,Giants,4,0
Tarell Basham,2018,DE,Jets,1,0
Tarvarius Moore,2018,CB,49ers,1,0
Terrance Williams,2018,WR,Cowboys,2,0
Taywan Taylor,2018,WR,Titans,4,0
Terrance Smith,2018,LB,Chiefs,1,0
Terrance Mitchell,2018,CB,Browns,2,0
Telvin Smith,2018,LB,Jaguars,3,0
Teez Tabor,2018,CB,Lions,1,0
Tedric Thompson,2018,S,Seahawks,5,0
Ted Larsen,2018,G,Dolphins,6,0
Ted Ginn,2018,WR,Saints,7,0
Taylor Stallworth,2018,DT,Saints,2,0
Tashaun Gipson,2018,S,Jaguars,3,0
Taylor Gabriel,2018,WR,Bears,3,0
Taylor Decker,2018,T,Lions,3,0
Tavon Young,2018,CB,Ravens,8,0
Tavon Wilson,2018,S,Lions,2,0
Tavon Austin,2018,WR,Cowboys,14,0
Tavierre Thomas,2018,CB,Browns,8,0
Tashawn Bower,2018,DE,Vikings,3,0
Trent Sherfield,2018,WR,Cardinals,2,0
Trent Williams,2018,T,Redskins,16,0
Nigel Bradham,2018,LB,Eagles,1,0
Will Fuller,2018,WR,Texans,8,0
Willie Henry,2018,DT,Ravens,5,0
William Jackson,2018,CB,Bengals,2,0
William Hayes,2018,DE,Dolphins,2,0
William Gholston,2018,DE,Buccaneers,1,0
Will Richardson,2018,T,Jaguars,1,0
Will Redmond,2018,CB,Packers,1,0
Will Holden,2018,G,Cardinals,2,0
Will Compton,2018,LB,Titans,5,0
Xavier Grimble,2018,TE,Steelers,2,0
Wil Lutz,2018,K,Saints,1,0
Whitney Mercilus,2018,LB,Texans,6,0
Weston Richburg,2018,C,49ers,12,0
Wesley Woodyard,2018,LB,Titans,4,0
Wes Schweitzer,2018,C,Falcons,1,0
Wendell Smallwood,2018,RB,Eagles,2,0
Wayne Gallman,2018,RB,Giants,1,0
Xavien Howard,2018,CB,Dolphins,8,0
Xavier Rhodes,2018,CB,Vikings,9,0
Vonn Bell,2018,S,Saints,1,0
Zach Ertz,2018,TE,Eagles,1,0
Zack Martin,2018,G,Cowboys,11,0
Zach Vigil,2018,LB,Redskins,1,0
Zach Pascal,2018,WR,Colts,5,0
Zach Moore,2018,DE,Cardinals,1,0
Zach Line,2018,RB,Saints,1,0
Zach Kerr,2018,DE,Broncos,1,0
Zach Fulton,2018,G,Texans,11,0
Zach Cunningham,2018,LB,Texans,5,0
Xavier Su'a-Filo,2018,G,Cowboys,6,0
Zach Brown,2018,LB,Redskins,10,0
Zac Kerin,2018,G,Redskins,1,0
Za'Darius Smith,2018,LB,Ravens,1,0
Yannick Ngakoue,2018,DE,Jaguars,1,0
Xavier Woodson-Luster,2018,LB,Browns,1,0
Xavier Woods,2018,S,Cowboys,4,0
Xavier Williams,2018,DT,Chiefs,1,0
