Player,Season,Position,Team,TotalInjuryCount,ConcussionTotal
Jonathan Goff,2008,LB,Titans,1,1
Brodney Pool,2008,S,Cowboys,1,1
Kenny Phillips,2008,S,Giants,1,1
Santana Moss,2008,WR,Redskins,1,1
Marcus Thomas,2008,DT,Broncos,2,0
Marques Colston,2008,WR,Packers,1,0
Marques Colston,2008,WR,Buccaneers,1,0
Marlon McCree,2008,S,Redskins,1,0
Marcus Washington,2008,LB,Cowboys,1,0
Marcus Stroud,2008,DT,Bills,1,0
Marcus McNeill,2008,T,Panthers,1,0
Marques Harris,2008,LB,Chargers,2,0
Marcus Washington,2008,LB,Redskins,5,0
Marquand Manuel,2008,S,Packers,1,0
Marquand Manuel,2008,S,Broncos,1,0
Mark Roman,2008,S,Niners,1,0
Marlon McCree,2008,S,Raiders,1,0
Marlon McCree,2008,S,Broncos,5,0
Mario Haggan,2008,LB,Broncos,2,0
Mario Henderson,2008,T,Cowboys,1,0
Marion Barber,2008,RB,Cowboys,3,0
Mark Anderson,2008,DE,Bears,1,0
Mark Simoneau,2008,LB,Buccaneers,1,0
Mark Bradley,2008,WR,Chiefs,4,0
Mark Roman,2008,S,Rams,1,0
Marcus Maxwell,2008,WR,Ravens,3,0
Mark Clayton,2008,WR,Ravens,1,0
Mark LeVoir,2008,T,Patriots,1,0
Mark Roman,2008,S,Falcons,1,0
Mark Tauscher,2008,T,Packers,2,0
Malcolm Kelly,2008,WR,Redskins,1,0
Marcus Henry,2008,WR,Jets,1,0
Letroy Guion,2008,DT,Vikings,2,0
London Fletcher,2008,LB,Redskins,4,0
Lofa Tatupu,2008,LB,Seahawks,2,0
Lofa Tatupu,2008,LB,Cardinals,1,0
Lito Sheppard,2008,CB,Eagles,1,0
Lewis Sanders,2008,CB,Patriots,3,0
Levi Jones,2008,T,Bengals,5,0
Leroy Hill,2008,LB,Seahawks,3,0
Lorenzo Neal,2008,RB,Ravens,1,0
Leonard Weaver,2008,RB,Seahawks,2,0
Leonard Weaver,2008,RB,Cardinals,1,0
Leonard Pope,2008,TE,Panthers,1,0
Leonard Pope,2008,TE,Cardinals,3,0
Leonard Little,2008,DE,Rams,3,0
Leonard Davis,2008,G,Dolphins,1,0
Lorenzo Booker,2008,RB,Eagles,1,0
Louis Green,2008,LB,Packers,1,0
Marcus Harrison,2008,DT,Bears,1,0
Madieu Williams,2008,S,Vikings,2,0
Marcus Buggs,2008,LB,Bills,1,0
Marc Colombo,2008,T,Cowboys,1,0
Mansfield Wrotto,2008,G,Seahawks,1,0
Malcom Floyd,2008,WR,Chargers,2,0
Marshal Yanda,2008,T,Bengals,1,0
Malcolm Kelly,2008,WR,Cowboys,1,0
Madieu Williams,2008,S,Steelers,1,0
Louis Leonard,2008,DE,Browns,1,0
Madieu Williams,2008,S,Giants,1,0
Madieu Williams,2008,S,Browns,1,0
Ma'ake Kemoeatu,2008,DT,Panthers,2,0
Lyle Sendlein,2008,C,Cardinals,1,0
Luis Castillo,2008,DE,Colts,1,0
Luis Castillo,2008,DE,Chargers,2,0
Marques Harris,2008,LB,Seahawks,1,0
Matt Forte,2008,RB,Bears,1,0
Marshawn Lynch,2008,RB,Bills,2,0
Mike Tolbert,2008,RB,Chargers,4,0
Mike Pollak,2008,G,Colts,2,0
Mike Peterson,2008,LB,Jaguars,1,0
Mike Nugent,2008,K,Jets,3,0
Mike Nugent,2008,K,Dolphins,1,0
Mike Montgomery,2008,DE,Packers,1,0
Mike McKenzie,2008,CB,Buccaneers,1,0
Mike Karney,2008,RB,Saints,2,0
Mike Karney,2008,RB,Packers,1,0
Mike Karney,2008,RB,Buccaneers,1,0
Mike Jenkins,2008,CB,Cowboys,3,0
Mike Gandy,2008,T,Titans,1,0
Mike Gandy,2008,T,Panthers,1,0
Mike Gandy,2008,T,Giants,1,0
Mike Gandy,2008,T,Cardinals,2,0
Mike Brown,2008,S,Niners,1,0
Mike Sims-Walker,2008,WR,Jaguars,1,0
Mike Vrabel,2008,LB,Patriots,1,0
Michael Turner,2008,RB,Broncos,1,0
Mike Wahle,2008,G,Seahawks,3,0
Nathan Vasher,2008,CB,Bears,1,0
Nate Webster,2008,LB,Redskins,1,0
Nate Webster,2008,LB,Raiders,1,0
Nate Webster,2008,LB,Broncos,3,0
Nate Webster,2008,DT,Broncos,1,0
Nate Jackson,2008,TE,Raiders,1,0
Nate Clements,2008,CB,Niners,2,0
Najeh Davenport,2008,RB,Steelers,1,0
Morlon Greenwood,2008,LB,Texans,1,0
Morlon Greenwood,2008,LB,Chargers,1,0
Montrae Holland,2008,G,Cowboys,2,0
Montell Owens,2008,RB,Jaguars,1,0
Miles Austin,2008,WR,Ravens,1,0
Miles Austin,2008,WR,Niners,1,0
Miles Austin,2008,WR,Cowboys,4,0
Mike Brown,2008,S,Bears,4,0
Michael Roos,2008,T,Titans,1,0
Martellus Bennett,2008,TE,Cowboys,1,0
Matt Schaub,2008,QB,Texans,4,0
Matt Murphy,2008,TE,Bills,1,0
Matt Moore,2008,QB,Browns,1,0
Matt McCoy,2008,LB,Patriots,1,0
Matt Light,2008,T,Patriots,1,0
Matt Jones,2008,WR,Vikings,1,0
Matt Jones,2008,WR,Jaguars,2,0
Matt Hasselbeck,2008,QB,Seahawks,6,0
Matt Hasselbeck,2008,QB,Cardinals,1,0
Leon Williams,2008,LB,Browns,1,0
Matt Cassel,2008,QB,Patriots,1,0
Marvin Harrison,2008,WR,Colts,1,0
Marvel Smith,2008,T,Steelers,6,0
Marvel Smith,2008,T,Chargers,1,0
Marty Booker,2008,WR,Bears,5,0
Martin Rucker,2008,TE,Cowboys,1,0
Matt Schaub,2008,QB,Chargers,1,0
Matt Spaeth,2008,TE,Steelers,1,0
Michael Robinson,2008,RB,Falcons,1,0
Matt Stover,2008,K,Ravens,3,0
Michael Lewis,2008,S,Niners,2,0
Michael Huff,2008,S,Raiders,1,0
Michael Griffin,2008,S,Titans,1,0
Michael Clayton,2008,WR,Patriots,1,0
Michael Clayton,2008,WR,Buccaneers,1,0
Michael Boley,2008,LB,Broncos,1,0
Melvin Bullitt,2008,CB,Colts,1,0
Melvin Bullitt,2008,CB,Cardinals,1,0
Max Jean-Gilles,2008,G,Eagles,1,0
Maurice Williams,2008,T,Saints,1,0
